T91,0.5243,0.5243,0.5243,0.5243
T92,4.637,4.637,4.637,4.637
T93,0.612,0.612,0.612,0.612
T94,0.4033,0.4033,0.4033,0.4033
T95,1.248,1.248,1.248,1.248
T96,1.551,1.551,1.551,1.551
T97,4.92,4.92,4.92,4.92
T98,20.164,20.164,20.164,20.164
T99,8010524,8010524,8010524,8010524
T100,1010.67,1010.67,1010.67,1010.67
T101,46698.76,46698.76,46698.76,46698.76
T102,2.16,2.16,2.16,2.16
T103,24801.54,24801.54,24801.54,24801.54
T104,1324399,1324399,1324399,1324399
T105,87,87,87,87
T106,74914,74914,74914,74914
T107,1625231,1625231,1625231,1625231
T108,879.55,879.55,879.55,879.55
T109,1741.19,1741.19,1741.19,1741.19
T110,581.34,581.34,581.34,581.34
T111,62.76,62.76,62.76,62.76
T112,3689.44,3689.44,3689.44,3689.44
T113,363.4,363.4,363.4,363.4
T114,642.85,642.85,642.85,642.85
T115,229.92,229.92,229.92,229.92
T116,32.39,32.39,32.39,32.39
T117,1485.72,1485.72,1485.72,1485.72
T118,329.29,329.29,329.29,329.29
T119,499.9,499.9,499.9,499.9
T120,163.26,163.26,163.26,163.26
T121,14.27,14.27,14.27,14.27
T122,1154.11,1154.11,1154.11,1154.11
T123,1980.53,1980.53,1980.53,1980.53
T124,1270.53,1270.53,1270.53,1270.53
T125,683.61,683.61,683.61,683.61
T126,240.04,240.04,240.04,240.04
T127,4570.7,4570.7,4570.7,4570.7
T128,408.45,408.45,408.45,408.45
T129,335.23,335.23,335.23,335.23
T130,172.44,172.44,172.44,172.44
T131,52.89,52.89,52.89,52.89
T132,1128.77,1128.77,1128.77,1128.77
T133,621.26,621.26,621.26,621.26
T134,257.21,257.21,257.21,257.21
T135,178.62,178.62,178.62,178.62
T136,44.26,44.26,44.26,44.26
T137,1211.32,1211.32,1211.32,1211.32
T138,473.51,473.51,473.51,473.51
T139,455.13,455.13,455.13,455.13
T140,229.78,229.78,229.78,229.78
T141,30.21,30.21,30.21,30.21
T142,1352.96,1352.96,1352.96,1352.96
T143,1439.86,1439.86,1439.86,1439.86
T144,425.32,425.32,425.32,425.32
T145,429.06,429.06,429.06,429.06
T146,25.27,25.27,25.27,25.27
T147,2612.48,2612.48,2612.48,2612.48
T148,15937.65,15937.65,15937.65,15937.65
T149,3651.27,3651.27,3651.27,3651.27
T150,3873.39,3873.39,3873.39,3873.39
T151,732.2,732.2,732.2,732.2
T152,26776.33,26776.33,26776.33,26776.33
T153,135.15,135.15,135.15,135.15
T154,286.14,286.14,286.14,286.14
T155,91.87,91.87,91.87,91.87
T156,20.92,20.92,20.92,20.92
T157,613.62,613.62,613.62,613.62
T158,790056,790056,790056,790056
T159,715447,715447,715447,715447
T160,150926,150926,150926,150926
T161,286848,286848,286848,286848
T162,158972,158972,158972,158972
T163,89419,89419,89419,89419
T164,97431,97431,97431,97431
T165,82678,82678,82678,82678
T166,189688,189688,189688,189688
T167,190037,190037,190037,190037
T168,117063,117063,117063,117063
T169,434507,434507,434507,434507
T170,90862,90862,90862,90862
T171,642649,642649,642649,642649
T172,134810,134810,134810,134810
T173,398480,398480,398480,398480
T174,270809,270809,270809,270809
T175,4840682,4840682,4840682,4840682
T176,321889,321889,321889,321889
T177,504337,504337,504337,504337
T178,68266,68266,68266,68266
T179,151143,151143,151143,151143
T180,87371,87371,87371,87371
T181,35187,35187,35187,35187
T182,58472,58472,58472,58472
T183,36965,36965,36965,36965
T184,114474,114474,114474,114474
T185,78454,78454,78454,78454
T186,33443,33443,33443,33443
T187,175787,175787,175787,175787
T188,41734,41734,41734,41734
T189,308843,308843,308843,308843
T190,85516,85516,85516,85516
T191,195488,195488,195488,195488
T192,104021,104021,104021,104021
T193,2401390,2401390,2401390,2401390
T194,191512,191512,191512,191512
T195,27062,27062,27062,27062
T196,29633,29633,29633,29633
T197,32378,32378,32378,32378
T198,25862,25862,25862,25862
T199,12983,12983,12983,12983
T200,8671,8671,8671,8671
T201,9345,9345,9345,9345
T202,17522,17522,17522,17522
T203,20004,20004,20004,20004
T204,22256,22256,22256,22256
T205,75747,75747,75747,75747
T206,23536,23536,23536,23536
T207,200857,200857,200857,200857
T208,15949,15949,15949,15949
T209,75429,75429,75429,75429
T210,58831,58831,58831,58831
T211,847577,847577,847577,847577
T212,150750,150750,150750,150750
T213,35914,35914,35914,35914
T214,17093,17093,17093,17093
T215,32725,32725,32725,32725
T216,14248,14248,14248,14248
T217,8936,8936,8936,8936
T218,4770,4770,4770,4770
T219,9765,9765,9765,9765
T220,12009,12009,12009,12009
T221,41461,41461,41461,41461
T222,18454,18454,18454,18454
T223,84350,84350,84350,84350
T224,10143,10143,10143,10143
T225,42781,42781,42781,42781
T226,11167,11167,11167,11167
T227,43008,43008,43008,43008
T228,34790,34790,34790,34790
T229,572364,572364,572364,572364
T230,125905,125905,125905,125905
T231,148134,148134,148134,148134
T232,35934,35934,35934,35934
T233,70602,70602,70602,70602
T234,31491,31491,31491,31491
T235,32313,32313,32313,32313
T236,25518,25518,25518,25518
T237,26603,26603,26603,26603
T238,45683,45683,45683,45683
T239,50118,50118,50118,50118
T240,42910,42910,42910,42910
T241,98623,98623,98623,98623
T242,15449,15449,15449,15449
T243,90168,90168,90168,90168
T244,22178,22178,22178,22178
T245,84555,84555,84555,84555
T246,73167,73167,73167,73167
T247,1019351,1019351,1019351,1019351
T248,900,900,900,900
T249,18400,18400,18400,18400
T250,800,800,800,800
T251,1600,1600,1600,1600
T252,70600,70600,70600,70600
T253,1700,1700,1700,1700
T254,5300,5300,5300,5300
T255,1400,1400,1400,1400
T256,1000,1000,1000,1000
T257,4000,4000,4000,4000
T258,1100,1100,1100,1100
T259,106700,106700,106700,106700
T260,1100,1100,1100,1100
T261,7100,7100,7100,7100
T262,5000,5000,5000,5000
T263,4800,4800,4800,4800
T264,2400,2400,2400,2400
T265,1300,1300,1300,1300
T266,1900,1900,1900,1900
T267,42600,42600,42600,42600
T268,3500,3500,3500,3500
T269,69800,69800,69800,69800
T270,3100,3100,3100,3100
T271,8200,8200,8200,8200
T272,10200,10200,10200,10200
T273,1900,1900,1900,1900
T274,2500,2500,2500,2500
T275,2100,2100,2100,2100
T276,10500,10500,10500,10500
T277,38600,38600,38600,38600
T278,600,600,600,600
T279,600,600,600,600
T280,2400,2400,2400,2400
T281,1900,1900,1900,1900
T282,2800,2800,2800,2800
T283,3500,3500,3500,3500
T284,11700,11700,11700,11700
T285,1400,1400,1400,1400
T286,27700,27700,27700,27700
T287,16000,16000,16000,16000
T288,5700,5700,5700,5700
T289,21200,21200,21200,21200
T290,34500,34500,34500,34500
T291,10900,10900,10900,10900
T292,1300,1300,1300,1300
T293,119700,119700,119700,119700
T294,18300,18300,18300,18300
T295,14300,14300,14300,14300
T296,7300,7300,7300,7300
T297,2500,2500,2500,2500
T298,2000,2000,2000,2000
T299,700,700,700,700
T300,45200,45200,45200,45200
T301,6200,6200,6200,6200
T302,300,300,300,300
T303,900,900,900,900
T304,1700,1700,1700,1700
T305,2100,2100,2100,2100
T306,11100,11100,11100,11100
T307,400,400,400,400
T308,500,500,500,500
T309,9800,9800,9800,9800
T310,700,700,700,700
T311,300,300,300,300
T312,34700,34700,34700,34700
T313,1600,1600,1600,1600
T314,48000,48000,48000,48000
T315,900,900,900,900
T316,4100,4100,4100,4100
T317,2700,2700,2700,2700
T318,7800,7800,7800,7800
T319,3200,3200,3200,3200
T320,461700,461700,461700,461700
T321,549,549,549,549
T322,1748,1748,1748,1748
T323,610,610,610,610
T324,70,70,70,70
T325,924,924,924,924
T326,3901,3901,3901,3901
T327,242936,242936,242936,242936
T328,219483,219483,219483,219483
T329,117115,117115,117115,117115
T330,52936,52936,52936,52936
T331,632470,632470,632470,632470
T332,132781,132781,132781,132781
T333,34435,34435,34435,34435
T334,18917,18917,18917,18917
T335,19156,19156,19156,19156
T336,205289,205289,205289,205289
T337,24389,24389,24389,24389
T338,10402,10402,10402,10402
T339,1924,1924,1924,1924
T340,2954,2954,2954,2954
T341,39669,39669,39669,39669
T342,6484,6484,6484,6484
T343,1405,1405,1405,1405
T344,632,632,632,632
T345,3038,3038,3038,3038
T346,11559,11559,11559,11559
T347,3435,3435,3435,3435
T348,638,638,638,638
T349,142,142,142,142
T350,521,521,521,521
T351,4736,4736,4736,4736
T352,167089,167089,167089,167089
T353,46880,46880,46880,46880
T354,21615,21615,21615,21615
T355,25669,25669,25669,25669
T356,261253,261253,261253,261253
T357,143004,143004,143004,143004
T358,12137,12137,12137,12137
T359,6452,6452,6452,6452
T360,11974,11974,11974,11974
T361,173567,173567,173567,173567
T362,25448,25448,25448,25448
T363,6538,6538,6538,6538
T364,1455,1455,1455,1455
T365,4917,4917,4917,4917
T366,38358,38358,38358,38358
T367,16981,16981,16981,16981
T368,7008,7008,7008,7008
T369,2381,2381,2381,2381
T370,2503,2503,2503,2503
T371,28873,28873,28873,28873
T372,72583,72583,72583,72583
T373,22123,22123,22123,22123
T374,3384,3384,3384,3384
T375,11846,11846,11846,11846
T376,109936,109936,109936,109936
T377,29488,29488,29488,29488
T378,10078,10078,10078,10078
T379,17917,17917,17917,17917
T380,19051,19051,19051,19051
T381,76534,76534,76534,76534
T382,287648,287648,287648,287648
T383,58052,58052,58052,58052
T384,31589,31589,31589,31589
T385,50453,50453,50453,50453
T386,427742,427742,427742,427742
T387,22335,22335,22335,22335
T388,4463,4463,4463,4463
T389,4039,4039,4039,4039
T390,3182,3182,3182,3182
T391,34019,34019,34019,34019
T392,14142,14142,14142,14142
T393,4318,4318,4318,4318
T394,1318,1318,1318,1318
T395,2417,2417,2417,2417
T396,22195,22195,22195,22195
T397,15049,15049,15049,15049
T398,2893,2893,2893,2893
T399,1205,1205,1205,1205
T400,5685,5685,5685,5685
T401,24832,24832,24832,24832
T402,4977,4977,4977,4977
T403,1580,1580,1580,1580
T404,549,549,549,549
T405,1142,1142,1142,1142
T406,8248,8248,8248,8248
T407,8557,8557,8557,8557
T408,4271,4271,4271,4271
T409,1131,1131,1131,1131
T410,3311,3311,3311,3311
T411,17270,17270,17270,17270
T412,2738,2738,2738,2738
T413,3258,3258,3258,3258
T414,950,950,950,950
T415,3222,3222,3222,3222
T416,10168,10168,10168,10168
T417,67798,67798,67798,67798
T418,20783,20783,20783,20783
T419,9192,9192,9192,9192
T420,18959,18959,18959,18959
T421,116732,116732,116732,116732
T422,355446,355446,355446,355446
T423,78835,78835,78835,78835
T424,40781,40781,40781,40781
T425,69412,69412,69412,69412
T426,544474,544474,544474,544474
T427,128205,128205,128205,128205
T428,90743,90743,90743,90743
T429,9068,9068,9068,9068
T430,8970,8970,8970,8970
T431,236986,236986,236986,236986
T432,18262,18262,18262,18262
T433,3753,3753,3753,3753
T434,2069,2069,2069,2069
T435,2618,2618,2618,2618
T436,26702,26702,26702,26702
T437,9201,9201,9201,9201
T438,3203,3203,3203,3203
T439,329,329,329,329
T440,756,756,756,756
T441,13489,13489,13489,13489
T442,155668,155668,155668,155668
T443,97699,97699,97699,97699
T444,11466,11466,11466,11466
T445,12344,12344,12344,12344
T446,277177,277177,277177,277177
T447,37622,37622,37622,37622
T448,5583,5583,5583,5583
T449,2640,2640,2640,2640
T450,3106,3106,3106,3106
T451,48951,48951,48951,48951
T452,18126,18126,18126,18126
T453,5807,5807,5807,5807
T454,937,937,937,937
T455,1167,1167,1167,1167
T456,26037,26037,26037,26037
T457,10575,10575,10575,10575
T458,2740,2740,2740,2740
T459,1112,1112,1112,1112
T460,806,806,806,806
T461,15233,15233,15233,15233
T462,22434,22434,22434,22434
T463,5535,5535,5535,5535
T464,3580,3580,3580,3580
T465,4826,4826,4826,4826
T466,36375,36375,36375,36375
T467,4459,4459,4459,4459
T468,2487,2487,2487,2487
T469,1754,1754,1754,1754
T470,2669,2669,2669,2669
T471,11369,11369,11369,11369
T472,93216,93216,93216,93216
T473,22152,22152,22152,22152
T474,9522,9522,9522,9522
T475,13075,13075,13075,13075
T476,137965,137965,137965,137965
T477,248884,248884,248884,248884
T478,119851,119851,119851,119851
T479,20988,20988,20988,20988
T480,25419,25419,25419,25419
T481,415142,415142,415142,415142
T482,4717,4717,4717,4717
T483,8462,8462,8462,8462
T484,1490,1490,1490,1490
T485,1121,1121,1121,1121
T486,15790,15790,15790,15790
T487,27610,27610,27610,27610
T488,28684,28684,28684,28684
T489,6810,6810,6810,6810
T490,19716,19716,19716,19716
T491,82820,82820,82820,82820
T492,27226,27226,27226,27226
T493,20253,20253,20253,20253
T494,5148,5148,5148,5148
T495,36302,36302,36302,36302
T496,93115,93115,93115,93115
T497,59553,59553,59553,59553
T498,57399,57399,57399,57399
T499,13448,13448,13448,13448
T500,53137,53137,53137,53137
T501,191725,191725,191725,191725
T502,1073908,1073908,1073908,1073908
T503,522448,522448,522448,522448
T504,213947,213947,213947,213947
T505,181920,181920,181920,181920
T506,2045064,2045064,2045064,2045064
T507,1263,1263,1263,1263
T508,1874,1874,1874,1874
T509,1491,1491,1491,1491
T510,1659,1659,1659,1659
T511,1564,1564,1564,1564
T512,1594,1594,1594,1594
T513,1902,1902,1902,1902
T514,1642,1642,1642,1642
T515,1359,1359,1359,1359
T516,1320,1320,1320,1320
T517,1102,1102,1102,1102
T518,1447,1447,1447,1447
