T11,125.376,115.38,115.33,120.788,123.142,112.551,127.252,128.551,129.189,138.732,130.192,119.343,125.029,123.305,121.082,127.515,120.488,123.693,125.248,126.175,127.12,126.538,107.855,111.86,110.779,108.002,117.044,113.938,111.763,112.795,98.041
T12,58.654,47.477,42.254,37.614,46.442,30.171,29.331,45.452,51.629,59.761,54.721,48.064,49.744,49.09,47.085,56.627,50.361,47.681,58.975,63.358,61.553,59.642,60.844,55.731,96.636,164.403,205.101,212.247,256.254,184.594,249.783
T13,54.49,43.147,56.427,54.525,46.804,72.194,68.125,63.1,62.247,75.735,59.797,53.779,38.482,59.89,37.559,37.598,40.262,35.846,43.866,43.073,47.273,44.568,37.076,38.932,43.481,37.98,43.322,60.035,87.877,90.08,108.992
T14,37.85,30.403,33.684,35.143,55.088,38.252,37.526,38.438,36.541,38.578,38.029,38.533,39.196,48.731,45.175,36.362,40.267,28.788,40.473,32.258,36.492,36.051,36.611,31.712,34.884,26.37,53.208,48.409,36.809,39.323,39.972
T15,176.968,164.229,175.621,166.397,229.055,54.642,51.363,139.465,201.594,229.996,203.231,179.712,189.994,218.72,195.713,175.99,207.604,186.431,181.417,192.583,214.645,211.929,204.887,202.242,208.944,228.896,247.894,235.073,272.291,253.307,280.25
T16,127.574,147.458,125.53,125.738,135.939,165.482,121.203,120.499,126.274,140.493,125.096,119.854,115.357,153.996,124.858,120.433,121.888,121.81,120.528,126.903,114.621,121.563,128.881,149.448,93.826,90.557,179.082,152.547,136.352,133.911,176.444
T17,58.074,71.406,61.37,64.362,51.494,22.692,35.771,64.367,64.376,70.283,61.376,53.025,55.685,57.888,68.255,51.113,79.429,57.416,61.183,64.57,63.856,65.238,59.663,76.144,84.75,69.782,82.321,73.047,26.244,31.137,79.85
T18,33.125,51.559,50.4,53.656,52.216,54.063,56.019,79.794,51.839,56.696,57.076,37.157,38.418,39.243,37.687,36.436,36.85,39.793,64.765,59.813,53.574,53.437,66.136,69.141,84.008,83.517,83.885,85.922,22.791,23.231,22.24
T19,102,44.718,78.384,65.569,128.088,136.829,77.977,37.836,74.343,125.022,62.467,73.121,68.192,165.622,121.641,46.397,63.033,60.865,46.522,62.534,51.881,86.431,94.482,130.849,124.93,208.664,270.565,167.004,264.615,164.704,161.48
T20,235.73,235.675,190.62,77.09,66.969,63.955,78.407,95.194,119.024,126.419,116.575,109.951,111.473,118.05,110.933,103.982,106.643,121.218,155.084,193.424,170.808,134.18,123.13,113.261,146.002,138.731,142.154,149.802,138.731,161.789,163.106
T1,99.538,118.087,128.596,102.328,110.467,95.016,95.819,97.833,93.319,90.455,98.785,98.896,91.712,93.055,93.016,92.671,76.467,86.933,85.333,84.123,86.919,87.618,116.864,107.644,108.748,112.347,143.686,141.142,124.501,147.301,141.053
T2,41.778,36.073,32.834,36.712,31.988,28.209,41.526,39.178,39.65,32.527,27.718,32.457,27.918,20.099,19.928,28.383,30.033,29.209,30.228,37.776,34.92,28.915,33.559,46.117,37.476,46.712,60.474,53.615,97.15,41.122,88.432
T3,66.134,61.173,56.362,57.361,59.703,86.016,84.633,68.319,61.634,92.078,68.906,64.663,78.377,108.468,64.7,63.163,55.527,45.645,52.705,61.839,33.821,39.322,81.675,79.207,110.588,114.36,120.771,97.218,96.082,58.845,60.334
T4,67.758,55.483,75.548,62.937,73.754,65.687,68.939,61.001,67.529,68.423,60.902,61.944,62.626,70.436,69.929,67.743,56.963,54.841,59.585,58.686,62.172,64.329,65.127,63.686,63.441,61.992,50.664,67.927,64.315,58.185,61.609
T5,138.383,76.362,107.046,116.36,147.754,148.656,151.964,124.337,167.944,191.246,140.237,144.42,141.578,176.399,145.232,124.903,142.459,114.648,135.467,141.693,135.607,150.642,162.267,161.465,169.06,177.614,179.192,177.946,177.093,96.199,220.831
T6,69.886,64.826,74.643,71.976,81.692,90.059,85.886,72.068,72.885,81.007,72.292,73.935,74.157,67.92,74.334,68.104,77.663,61.728,70.456,73.595,54.498,54.111,63.35,71.863,81.805,102.848,153.378,116.38,66.976,46.739,82.074
